product,country,correction_bnusd_per_mt_feed
eggs,MLI,-0.1184251680970192
eggs,MLT,-0.0
eggs,MMR,-0.07399331778287888
eggs,MNE,0.027983229607343674
eggs,MNG,0.0013750026701018214
eggs,MOZ,-0.09931677579879761
eggs,MRT,-0.08260276913642883
eggs,MUS,-0.0696893185377121
eggs,MWI,-0.10961892455816269
eggs,MYS,-0.007181235589087009
eggs,NAM,-0.06209975481033325
eggs,NER,-0.11532209813594818
eggs,NGA,-0.07436718791723251
eggs,NIC,-0.06490228325128555
eggs,NLD,-0.0
eggs,NOR,-0.010904232040047646
eggs,NPL,-0.07926223427057266
eggs,NZL,-0.043515995144844055
eggs,OMN,-0.07699842005968094
eggs,PAK,-0.03345995768904686
eggs,PAN,-0.04754358530044556
eggs,PER,-0.06355949491262436
eggs,PHL,-0.03617671877145767
eggs,PNG,-0.04571722075343132
eggs,POL,-0.0
eggs,PRI,-0.07147245854139328
eggs,PRT,-0.02069627307355404
eggs,PRY,-0.023868616670370102
eggs,PSE,-0.04093050956726074
eggs,ROU,-0.0
eggs,RUS,0.017109012231230736
eggs,RWA,-0.11327778548002243
eggs,SAU,-0.012993622571229935
eggs,SDN,-0.07557355612516403
eggs,SEN,-0.08781633526086807
eggs,SLB,-0.07305945456027985
eggs,SLE,-0.1124015524983406
eggs,SLV,-0.04454522579908371
eggs,SOM,-0.14121365547180176
eggs,SRB,0.031076185405254364
eggs,SSD,-0.0
eggs,STP,-0.08609525114297867
eggs,SUR,-0.08402004837989807
eggs,SVK,-0.0
eggs,SVN,-0.0
eggs,SWE,0.006547714117914438
eggs,SWZ,-0.046833813190460205
eggs,SYR,-0.004207829013466835
eggs,TCD,-0.13279730081558228
eggs,TGO,-0.0788138136267662
eggs,THA,0.047510355710983276
eggs,TJK,-0.11770729720592499
eggs,TKM,-0.021949153393507004
eggs,TLS,-0.04009361192584038
eggs,TTO,-0.03735242038965225
eggs,TUN,-0.02099730260670185
eggs,TUR,-0.015413749031722546
eggs,TWN,0.006697747390717268
eggs,TZA,-0.12535062432289124
eggs,UGA,-0.11252650618553162
eggs,UKR,-0.017201269045472145
eggs,URY,-0.03689197450876236
eggs,USA,-0.0373111367225647
eggs,UZB,-0.0485963337123394
eggs,VEN,-0.05050325393676758
eggs,VNM,-0.037594638764858246
eggs,VUT,-0.0569007471203804
eggs,YEM,-0.05342632532119751
eggs,ZAF,-0.0762726292014122
eggs,ZMB,-0.08243681490421295
eggs,ZWE,-0.12360386550426483
meat-cattle,AFG,-0.20493681728839874
meat-cattle,AGO,-0.12434722855687141
meat-cattle,ALB,-0.23792064934968948
meat-cattle,ARE,-0.20383256673812866
meat-cattle,ARG,-0.12691796943545341
meat-cattle,ARM,-0.19171857833862305
meat-cattle,ASM,-0.0
meat-cattle,ATG,-0.19403920322656631
meat-cattle,AUS,-0.1620579957962036
meat-cattle,AUT,-0.18607427179813385
meat-cattle,AZE,-0.21758897602558136
meat-cattle,BDI,-0.11946475505828857
meat-cattle,BEL,-0.1825605258345604
meat-cattle,BEN,-0.18563617765903473
meat-cattle,BFA,-0.18977896124124527
meat-cattle,BGD,-0.1972038298845291
meat-cattle,BGR,-0.21805889159440994
meat-cattle,BHS,-0.04821537062525749
meat-cattle,BIH,-0.2413358837366104
meat-cattle,BLR,-0.21986565738916397
meat-cattle,BLZ,-0.18635126948356628
meat-cattle,BOL,-0.14985903352499008
meat-cattle,BRA,-0.1445242464542389
